genome	cluster_id
28450.2250	1
28450.2164	1
28450.2256	1
28450.2251	1
28450.2352	1
1249471.3	1
1249476.3	1
1249474.3	1
28450.383	1
28450.382	1
1249477.3	1
28450.248	1
28450.1585	1
1437000.3	1
1439852.3	1
28450.385	1
28450.384	1
1249468.3	1
1249470.6	1
1241583.3	1
1637837.7	2
1385591.4	3
441162.11	4
342113.8	4
342113.3	4
57975.17	5
1249661.3	5
1468409.3	5
430531.6	5
1740162.3	5
271848.6	6
57975.31	6
57975.37	6
57975.47	6
1249665.3	6
1241582.3	6
57975.60	6
1249660.3	6
271848.56	6
1250339.3	6
57975.10	6
57975.36	6
1249667.3	6
1249662.3	6
57975.12	6
1249664.3	6
1249663.3	6
57975.11	6
57975.30	6
57975.9	6
57975.4	6
87883.148	7
87883.710	7
87883.706	7
87883.704	7
87883.718	7
985079.5	7
87883.728	7
87883.713	7
87883.715	7
87883.723	7
87883.726	7
87883.727	7
87883.714	7
87883.725	7
87883.729	7
87883.720	7
87883.709	7
87883.705	7
87883.77	7
87883.716	7
87883.717	7
87883.721	7
87883.719	7
87883.276	7
87883.275	7
87883.793	7
87883.703	7
87883.702	7
87883.724	7
87883.708	7
87883.263	7
87883.278	7
395019.7	7
395019.8	7
87883.264	7
87883.78	7
87883.36	7
87883.367	7
87883.372	7
87883.371	7
87883.368	7
87883.366	7
87883.370	7
87883.369	7
87883.711	7
87883.280	7
87883.707	7
87883.730	7
87883.722	7
87883.712	7
87883.794	7
87883.279	7
87883.285	7
95486.644	8
95486.679	8
95486.676	8
95486.671	8
95486.664	8
95486.674	8
95486.648	8
95486.651	8
95486.667	8
95486.660	8
95486.657	8
95486.663	8
95486.649	8
95486.672	8
95486.678	8
95486.642	8
95486.652	8
95486.650	8
95486.675	8
95486.658	8
95486.659	8
95486.669	8
95486.668	8
95486.654	8
95486.670	8
95486.646	8
95486.666	8
95486.643	8
2811789.3	8
2813843.3	8
95486.302	9
95486.466	9
95486.498	9
216591.5	9
95486.838	9
95486.86	9
95486.74	9
95486.300	9
95486.85	9
95486.639	9
95486.798	9
95486.799	9
95486.800	9
95486.315	9
95486.90	9
292.24	9
95486.303	9
95486.641	9
95486.640	9
95486.409	10
95486.89	11
95486.767	11
95486.304	11
95486.299	11
95486.464	11
331271.8	11
95486.346	11
95486.490	11
95486.301	11
406425.4	11
292.114	12
983594.32	13
983594.35	13
983594.16	13
292.125	13
292.127	13
292.492	13
292.525	13
292.113	13
292.214	13
292.531	13
292.532	13
292.533	13
292.536	13
292.297	13
488729.6	14
488730.28	15
488731.5	16
95485.5	17
95485.11	17
60550.19	18
2217913.3	19
60550.52	20
60550.51	20
2811788.3	21
60550.44	22
2906514.3	23
95485.10	23
60550.9	24
488447.4	25
488447.32	25
488447.311	25
488447.312	25
488447.65	25
488447.60	25
488447.61	25
488447.301	25
488447.184	25
482957.39	26
2015348.4	26
482957.22	27
482957.33	28
152480.134	29
152480.135	29
152480.136	29
152480.138	29
339670.8	29
152480.103	29
339670.21	29
152480.139	29
398577.6	29
152480.137	29
152480.140	29
152480.20	29
95486.54	30
1207504.12	30
95486.62	31
488446.13	31
488446.5	31
179879.35	32
1705310.4	33
179879.37	33
1009846.3	34
488732.15	35
1503055.35	36
60552.41	37
2732364.3	37
60552.215	37
416344.3	37
60552.43	37
60552.55	37
1449978.3	37
269482.11	37
60552.213	37
60552.44	37
60552.42	37
152500.14	38
292.26	38
152500.5	38
350701.8	38
101571.258	39
1503054.66	40
265293.12	41
101571.259	42
1249668.3	42
101571.260	42
101571.257	42
101571.256	42
595500.3	43
41899.3	43
337.92	44
337.90	44
337.54	44
337.55	44
337.52	44
337.56	44
337.74	44
337.78	44
337.62	44
337.69	44
337.53	44
337.60	44
337.68	44
337.65	44
337.63	44
337.70	44
337.36	44
337.58	44
337.64	44
337.57	44
337.71	44
337.73	44
337.61	44
337.66	44
337.82	44
337.83	44
337.77	44
337.72	44
337.67	44
337.39	44
337.48	44
337.37	44
337.35	44
1176492.5	44
337.86	44
337.76	44
626418.3	44
337.91	44
337.32	44
1176514.8	44
337.33	44
337.84	44
337.79	44
337.30	44
337.31	44
337.38	44
337.85	44
337.81	44
337.80	44
337.75	44
337.59	44
1494466.10	45
32009.3	46
32009.10	46
28095.12	46
28095.58	46
28095.310	46
28095.272	46
28095.307	46
28095.300	46
28095.40	46
999541.3	46
28095.268	46
32009.4	46
